site_id,ix,iy,x_center_mm,y_center_mm,n_points,complete,sfqr_nm,sfqr
48,-2,6,-50.0,150.00000000000003,30,False,106.54489070210026,1.0654489070210027e-07
49,-1,-6,-25.0,-150.00000000000003,135,False,163.3866030508607,1.6338660305086072e-07
50,-1,-5,-25.0,-125.0,441,True,367.62807025447415,3.6762807025447417e-07
51,-1,-4,-25.0,-100.0,441,True,422.7097870336495,4.2270978703364947e-07
52,-1,-3,-25.0,-75.00000000000001,462,True,604.9464643449091,6.049464643449092e-07
53,-1,-2,-25.0,-50.0,441,True,422.47567951159874,4.2247567951159875e-07
54,-1,-1,-25.0,-25.0,441,True,402.34063975396697,4.02340639753967e-07
55,-1,0,-25.0,0.0,462,True,497.72605201952365,4.977260520195237e-07
56,-1,1,-25.0,25.0,441,True,451.89583729453614,4.518958372945361e-07
57,-1,2,-25.0,50.0,441,True,503.5560260934456,5.035560260934456e-07
58,-1,3,-25.0,75.00000000000001,462,True,581.9063078175718,5.819063078175719e-07
59,-1,4,-25.0,100.0,441,True,542.2841061321977,5.422841061321977e-07
60,-1,5,-25.0,125.0,441,True,557.7977240162805,5.577977240162806e-07
61,-1,6,-25.0,150.00000000000003,135,False,323.2288567537418,3.232288567537418e-07
62,0,-6,0.0,-150.00000000000003,176,False,320.1535134043508,3.201535134043508e-07
63,0,-5,0.0,-125.0,462,True,458.3020580891002,4.583020580891002e-07
64,0,-4,0.0,-100.0,462,True,428.66489497134575,4.2866489497134577e-07
65,0,-3,0.0,-75.00000000000001,484,True,533.3777127147733,5.333777127147733e-07
66,0,-2,0.0,-50.0,462,True,476.7443274880591,4.767443274880591e-07
67,0,-1,0.0,-25.0,462,True,426.40684254190023,4.2640684254190023e-07
68,0,0,0.0,0.0,484,True,454.9345678778855,4.549345678778855e-07
69,0,1,0.0,25.0,462,True,483.05669471875945,4.830566947187595e-07
70,0,2,0.0,50.0,462,True,556.43732689418,5.5643732689418e-07
71,0,3,0.0,75.00000000000001,484,True,548.2683253526686,5.482683253526686e-07
72,0,4,0.0,100.0,462,True,566.6015592060611,5.666015592060611e-07
73,0,5,0.0,125.0,462,True,630.2117247559448,6.302117247559448e-07
74,0,6,0.0,150.00000000000003,176,False,416.0349279526106,4.160349279526106e-07
75,1,-6,25.0,-150.00000000000003,135,False,269.42896499628944,2.694289649962894e-07
76,1,-5,25.0,-125.0,441,True,447.85512405250483,4.4785512405250485e-07
77,1,-4,25.0,-100.0,441,True,469.9671004187479,4.699671004187479e-07
78,1,-3,25.0,-75.00000000000001,462,True,439.3134911701165,4.393134911701165e-07
79,1,-2,25.0,-50.0,441,True,455.4837587892745,4.554837587892745e-07
80,1,-1,25.0,-25.0,441,True,487.5095296392085,4.875095296392085e-07
81,1,0,25.0,0.0,462,True,485.21063939383237,4.852106393938324e-07
82,1,1,25.0,25.0,441,True,493.9536407831593,4.939536407831593e-07
83,1,2,25.0,50.0,441,True,463.82201637665094,4.638220163766509e-07
84,1,3,25.0,75.00000000000001,462,True,553.987165221887,5.539871652218871e-07
85,1,4,25.0,100.0,441,True,580.637326564866,5.80637326564866e-07
86,1,5,25.0,125.0,441,True,529.1594211892298,5.291594211892297e-07
87,1,6,25.0,150.00000000000003,135,False,337.3322996500297,3.373322996500297e-07
88,2,-6,50.0,-150.00000000000003,30,False,121.72231463958641,1.217223146395864e-07
89,2,-5,50.0,-125.0,429,False,493.10770658725744,4.931077065872575e-07
90,2,-4,50.0,-100.0,441,True,467.75521912782943,4.677552191278294e-07
91,2,-3,50.0,-75.00000000000001,462,True,537.183800678289,5.37183800678289e-07
92,2,-2,50.0,-50.0,441,True,501.40326055865415,5.014032605586542e-07
93,2,-1,50.0,-25.0,441,True,443.39323431688996,4.4339323431688994e-07
94,2,0,50.0,0.0,462,True,489.55983260963365,4.895598326096337e-07
95,2,1,50.0,25.0,441,True,843.0407364786894,8.430407364786894e-07
96,2,2,50.0,50.0,441,True,456.8237116146746,4.568237116146746e-07
97,2,3,50.0,75.00000000000001,462,True,456.7186949537799,4.567186949537799e-07
98,2,4,50.0,100.0,441,True,542.1028875939753,5.421028875939754e-07
99,2,5,50.0,125.0,429,False,561.8645007732107,5.618645007732107e-07
100,2,6,50.0,150.00000000000003,30,False,133.4044822255795,1.334044822255795e-07
101,3,-5,75.00000000000001,-125.0,254,False,458.1458417233022,4.5814584172330225e-07
102,3,-4,75.00000000000001,-100.0,462,True,582.850986690568,5.82850986690568e-07
103,3,-3,75.00000000000001,-75.00000000000001,484,True,590.9028741632569,5.909028741632569e-07
104,3,-2,75.00000000000001,-50.0,462,True,572.2550279002267,5.722550279002266e-07
105,3,-1,75.00000000000001,-25.0,462,True,528.6539176979502,5.286539176979502e-07
106,3,0,75.00000000000001,0.0,484,True,529.9520540556898,5.299520540556898e-07
107,3,1,75.00000000000001,25.0,462,True,747.1868623201575,7.471868623201575e-07
108,3,2,75.00000000000001,50.0,462,True,551.0195819646325,5.510195819646325e-07
109,3,3,75.00000000000001,75.00000000000001,484,True,561.0997450188819,5.610997450188819e-07
110,3,4,75.00000000000001,100.0,462,True,543.4559183690145,5.434559183690145e-07
111,3,5,75.00000000000001,125.0,254,False,522.3562073074987,5.223562073074987e-07
112,4,-5,100.0,-125.0,13,False,26.49060583647658,2.649060583647658e-08
113,4,-4,100.0,-100.0,332,False,554.4802771919807,5.544802771919807e-07
114,4,-3,100.0,-75.00000000000001,462,True,498.6746575052982,4.986746575052982e-07
115,4,-2,100.0,-50.0,441,True,545.697965999303,5.456979659993031e-07
116,4,-1,100.0,-25.0,441,True,494.13986979264047,4.941398697926405e-07
117,4,0,100.0,0.0,462,True,505.48298669510865,5.054829866951087e-07
118,4,1,100.0,25.0,441,True,519.0610042530133,5.190610042530132e-07
