site_id,x_center_mm,y_center_mm,n_points,tilt_urad,standoff_um,loss_angular_db,loss_lateral_db,loss_gap_db,loss_total_db
63,-20.0,-30.0,169,435.5924282294371,-8.905586468526748,9.153516979929971e-05,0.1218984712922244,-0.0979682370915006,0.02402176937052311
64,-20.0,-20.0,169,349.47815995592657,-11.617294400177752,5.892063633049802e-05,0.07846531024087045,-0.11690746488553846,-0.03838323400833753
65,-20.0,-10.0,169,288.8393971883819,-13.143928232411742,4.02476203322676e-05,0.053598233361127214,-0.12527592024177037,-0.07163743926031088
66,-20.0,0.0,156,264.2313691349156,-13.534842096272168,3.36818624397279e-05,0.04485453570119705,-0.12715133765127637,-0.08226312008763959
67,-20.0,10.0,169,283.6611355653259,-12.792693769551658,3.881745175612586e-05,0.05169366090548963,-0.12349773645390756,-0.0717652580966618
68,-20.0,20.0,169,331.68520847497905,-11.007675813944834,5.307372340019352e-05,0.07067890694314793,-0.11310263325949454,-0.04237065259294642
69,-20.0,30.0,169,402.7534867782697,-8.210215230599436,7.825389540259598e-05,0.10421164065302312,-0.0922781893449611,0.012011705203464618
70,-20.0,40.0,169,476.88697704973845,-4.43073787386965,0.00010971304611976644,0.1461061647903903,-0.05548471894911994,0.09073115888739011
71,-20.0,50.0,156,551.2765370628161,0.30795363397996894,0.00014661093561531746,0.1952435218661349,0.004340205069853803,0.19973033787160402
72,-20.0,60.0,169,625.9026180283702,5.929237812332952,0.00018899089594213983,0.25168141768903945,0.09423645917370393,0.34610686775868554
75,-10.0,-60.0,169,728.6539005184216,4.6388712787797575,0.00025613559465446385,0.3410988093468623,0.07184220591995666,0.41319715086147346
76,-10.0,-50.0,156,605.2239264681358,-1.902567387062311,0.0001767093482703818,0.2353259349868996,-0.02543067369303767,0.21007197064213232
77,-10.0,-40.0,169,476.6325916833605,-7.109041228865634,0.00010959602908665036,0.14595033181948658,-0.08257737772110851,0.0634825501274647
78,-10.0,-30.0,169,354.01513866361455,-11.027796220009686,6.046039994745814e-05,0.08051583171223894,-0.11323241706329286,-0.03265612495110645
79,-10.0,-20.0,169,242.3817579296509,-13.691283444871251,2.834178567819131e-05,0.03774309214085067,-0.12787124485275717,-0.0900998109262283
80,-10.0,-10.0,169,154.0619791299521,-15.175182548404385,1.1450337636321361e-05,0.015248550439222264,-0.1338275029779311,-0.11856750220107252
81,-10.0,0.0,156,128.26904785910932,-15.47721292195103,7.937268825717318e-06,0.010570155036712155,-0.1348461783997994,-0.12426808609426153
82,-10.0,10.0,169,169.42239054413014,-14.603426779686348,1.3847422980493643e-05,0.01844077742314853,-0.13171960741939356,-0.11326498257326453
83,-10.0,20.0,169,271.0782423226776,-12.772065255843065,3.5450035107873044e-05,0.04720923221511814,-0.12339056291147632,-0.0761458806612503
84,-10.0,30.0,169,355.9486161114848,-9.818782385784218,6.112262047060559e-05,0.08139771863730835,-0.10492556145819174,-0.02346672020041278
85,-10.0,40.0,169,453.80084118962316,-5.882944870854423,9.934772826876728e-05,0.13230254806836755,-0.07078676107819797,0.061615134718438366
86,-10.0,50.0,156,535.4373969149646,-0.979057614467011,0.00013830718715661275,0.1841853215554711,-0.013385243867767571,0.17093838487486013
87,-10.0,60.0,169,625.9673881450791,4.812684939230147,0.00018903001255676528,0.2517335097486863,0.07479874080570381,0.3267212805669469
90,0.0,-60.0,156,724.4645367122158,4.099371972920758,0.0002531987806863587,0.3371878193528894,0.0627852865228041,0.40022630465637987
91,0.0,-50.0,144,591.6498368269708,-2.496783927391932,0.00016887168849291986,0.2248884305011815,-0.032880898332659864,0.19217640385701457
92,0.0,-40.0,156,457.30926538280835,-7.70970401045716,0.00010088982035649565,0.13435617039187542,-0.08797356238650333,0.04648349782572858
93,0.0,-30.0,156,341.56081935952784,-11.645049388067068,5.62812119673179e-05,0.07495035751102289,-0.11707441471279628,-0.04206777598980607
94,0.0,-20.0,156,190.1713011613618,-14.279367019098093,1.7446861100946866e-05,0.023234191859984606,-0.130420697671442,-0.10716905895035643
95,0.0,-10.0,156,82.50813790322563,-15.779846684703742,3.2841343796193474e-06,0.0043735207054469115,-0.1358010796276575,-0.13142427478783097
96,0.0,0.0,144,35.35370979354542,-16.043439075888465,6.02972260244209e-07,0.0008029853106357456,-0.13657908373949249,-0.1357754954565965
97,0.0,10.0,156,147.58980508385847,-15.134656041794011,1.0508483967974386e-05,0.013994272738047911,-0.1336858267317431,-0.1196810455097272
98,0.0,20.0,156,256.89668534092897,-13.156443527297215,3.183789521724621e-05,0.042398902680290076,-0.1253376552829819,-0.08290691470747458
99,0.0,30.0,156,361.1093774737397,-10.141492098753565,6.290785552771433e-05,0.08377513733698405,-0.10724382851984027,-0.023405783327328497
100,0.0,40.0,156,456.9027183222121,-6.084355651380525,0.00010071051837756647,0.1341173918198898,-0.07279482671290038,0.06142327562536698
101,0.0,50.0,144,550.546786194002,-1.0189935527560035,0.00014622304084038022,0.1947269577936503,-0.013917825407925466,0.1809553554265652
102,0.0,60.0,156,640.8931321160123,4.907330576418967,0.00019815205602763744,0.26388144323259893,0.0764165313153225,0.34049612660394907
105,10.0,-60.0,169,752.1154531661495,5.131465842028236,0.00027289549819766037,0.3634181716793983,0.08026984097300319,0.4439609081505992
106,10.0,-50.0,156,623.5959418544392,-1.548333631657808,0.00018760046399652225,0.24982976297557488,-0.020877301071832777,0.22914006236773865
107,10.0,-40.0,169,491.2818902547676,-6.840274712242677,0.00011643642385263122,0.15505976666116192,-0.08008175782197484,0.07509444526303972
108,10.0,-30.0,169,364.9757519477751,-10.813063835066002,6.426216777165727e-05,0.08557869101532385,-0.11183251626034649,-0.026189563077250982
109,10.0,-20.0,169,255.02564955943828,-13.525696374950428,3.137581910389298e-05,0.04178355043959492,-0.12710870931681634,-0.08529378305811752
110,10.0,-10.0,169,166.26205200617878,-14.988373469422644,1.3335632540944157e-05,0.017759220024611475,-0.13316461994559436,-0.11539206428844195
111,10.0,0.0,156,146.42628979114122,-15.253634606777023,1.0343451061452682e-05,0.013774496459028408,-0.1340984082431095,-0.12031356833301965
112,10.0,10.0,169,200.25503547831204,-14.320402393091134,1.9346136084412938e-05,0.02576347888218282,-0.13058934277182968,-0.10480651775356245
113,10.0,20.0,169,295.82573911748074,-12.284578931898839,4.2218156373039674e-05,0.05622241957854532,-0.12076954633671383,-0.06450490860179547
114,10.0,30.0,169,390.8381082790345,-9.193510986497216,7.369213732541672e-05,0.09813669331603393,-0.10022508096878499,-0.0020146955154256435
115,10.0,40.0,169,486.63485837638353,-5.085069281575497,0.00011424409911865141,0.1521402218104315,-0.06255807881057923,0.0896963870989709
116,10.0,50.0,156,588.1933438341586,0.08180181412626827,0.00016690431273756902,0.22226845287334193,0.0011468431441028493,0.22358220033018236
117,10.0,60.0,169,675.1294819237804,6.168742578863205,0.00021988798242611498,0.2928274342205894,0.09850568491037745,0.3915530071133929
120,20.0,-60.0,169,812.2336211724864,7.643952265199619,0.00031826528671801264,0.4238376571690595,0.12556926466345794,0.5497251871192355
121,20.0,-50.0,156,680.7118286358206,0.8459784061090024,0.00022353932865903914,0.29768997530646923,0.01207135627962222,0.30998487091475047
122,20.0,-40.0,169,562.6436186762945,-4.557346491583447,0.00015271937668021686,0.20337820528260217,-0.056876148098415305,0.14665477656086706
123,20.0,-30.0,169,445.3250085865351,-8.611995687277071,9.56712652463259e-05,0.12740655865598524,-0.09560713162118441,0.03189509830004715
124,20.0,-20.0,169,350.01977234512566,-11.377516148861911,5.9103405261969274e-05,0.0787087057946768,-0.1154423895788032,-0.03667458037886444
125,20.0,-10.0,169,289.5575846446424,-12.858614237656841,4.044801731634996e-05,0.053865104401676675,-0.12383818429647395,-0.06993263187748092
126,20.0,0.0,156,270.75864137686347,-13.16599975888267,3.536649328095518e-05,0.04709797857334771,-0.1253847185968024,-0.07825137353017372
127,20.0,10.0,169,310.19519205660396,-12.249334268793637,4.641918079640433e-05,0.06181697363019867,-0.12057348491255053,-0.05871009210155546
128,20.0,20.0,169,370.66916226967453,-10.219227105121997,6.628271063952749e-05,0.08826947191750416,-0.10779127941191324,-0.01945552478376955
129,20.0,30.0,169,457.54951925303357,-7.0710991658309785,0.00010099585598199944,0.13449737929201477,-0.08222810369830427,0.0523702714496925
